,Number_offenses,Code,Code_Desc,Date,Time,Address,City,State,Zip,Code_Cat_abbrv,Crime Category,Crime Name,Address_numbers,Street_name
276701,1.0,ASSLT-13B-1,"ASSAULT - SIMPLE, NOT AGGRAVATED",2021-08-22,1915.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,ASSLT,ASSAULT,"SIMPLE, NOT AGGRAVATED",2800.0,FAIRHAVEN AVE
277052,1.0,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2021-08-21,1530.0,6000 NORTH KINGS HWY,ALEXANDRIA,VA,22303.0,LARC,LARCENY,THEFT FROM MOTOR VEHICLE,6000.0,NORTH KINGS HWY
277297,1.0,SUSP-1,SUSPICIOUS - EVENT,2021-08-20,800.0, FORT DR / N KINGS HWY,ALEXANDRIA,VA,22303.0,SUSP,SUSPICIOUS,EVENT,, FORT DR / N KINGS HWY
279309,1.0,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2021-08-10,2130.0,1800 EDGEHILL DR,ALEXANDRIA,VA,22307.0,TRES,TRESPASSING,PRIVATE PROPERTY,1800.0,EDGEHILL DR
280527,1.0,ASSLT-13B-2,ASSAULT - SIMPLE ASSAULT ON LEO,2021-08-04,1712.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,ASSLT,ASSAULT,SIMPLE ASSAULT ON LEO,2800.0,FAIRHAVEN AVE
280530,2.0,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2021-08-04,1712.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,TRES,TRESPASSING,PRIVATE PROPERTY,2800.0,FAIRHAVEN AVE
281912,1.0,ASSLT-13B-1,"ASSAULT - SIMPLE, NOT AGGRAVATED",2021-07-29,1233.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,ASSLT,ASSAULT,"SIMPLE, NOT AGGRAVATED",2800.0,FAIRHAVEN AVE
282591,2.0,ANML-90Z-6,ANIMAL - ANIMAL BITE - DOMESTIC,2021-07-26,1715.0,2900 FARMINGTON DR,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,ANIMAL BITE - DOMESTIC,2900.0,FARMINGTON DR
282612,1.0,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2021-07-26,1715.0,2900 FARMINGTON DR,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,RUNNING AT LARGE/UNRESTRICTED,2900.0,FARMINGTON DR
282631,1.0,SERV-8,SERVICE - LOST/FOUND PROPERTY,2021-07-26,1800.0,2800 JEFFERSON DR,ALEXANDRIA,VA,22303.0,SERV,SERVICE,LOST/FOUND PROPERTY,2800.0,JEFFERSON DR
282632,2.0,SERV-999,POLICE PHONE REPORT,2021-07-26,1800.0,2800 JEFFERSON DR,ALEXANDRIA,VA,22303.0,SERV,SERVICE,,2800.0,JEFFERSON DR
283330,1.0,SERV-1,SERVICE - POLICE SERVICE,2021-07-22,2207.0,2900 FARMINGTON DR,ALEXANDRIA,VA,22303.0,SERV,SERVICE,POLICE SERVICE,2900.0,FARMINGTON DR
283844,1.0,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2021-07-20,2010.0,5900 NORTH KINGS HWY,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,RUNNING AT LARGE/UNRESTRICTED,5900.0,NORTH KINGS HWY
284113,2.0,SERV-999,POLICE PHONE REPORT,2021-07-19,1056.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SERV,SERVICE,,2800.0,FAIRHAVEN AVE
284114,1.0,SERV-23,SERVICE - MISSING ADULT,2021-07-19,1056.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SERV,SERVICE,MISSING ADULT,2800.0,FAIRHAVEN AVE
284325,2.0,SERV-999,POLICE PHONE REPORT,2021-07-18,2030.0,5900 WILLIAMSBURG RD,ALEXANDRIA,VA,22303.0,SERV,SERVICE,,5900.0,WILLIAMSBURG RD
286109,1.0,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2021-07-10,1730.0,5800 MONTICELLO RD,ALEXANDRIA,VA,22303.0,LARC,LARCENY,THEFT FROM MOTOR VEHICLE,5800.0,MONTICELLO RD
286362,1.0,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2021-07-09,2330.0, JEFFERSON DR / NORTH KINGS HWY,ALEXANDRIA,VA,22303.0,ANML,ANIMAL,RUNNING AT LARGE/UNRESTRICTED,, JEFFERSON DR / NORTH KINGS HWY
