ADRNO,ADRSTR
2733,FARNSWORTH
2729,FARNSWORTH
2725,FARNSWORTH
2715,JEFFERSON
2727,FARNSWORTH
6011,WILLIAMSBURG
5921,EDGEHILL
5930,EDGEHILL
5926,EDGEHILL
5922,EDGEHILL
5941,EDGEHILL
5926,MONTICELLO
5923,EDGEHILL
5925,EDGEHILL
5927,EDGEHILL
5916,EDGEHILL
5914,EDGEHILL
2822,FORT
5843,EDGEHILL
2723,FARNSWORTH
5946,NORTH KINGS
2619,JEFFERSON
2607,JEFFERSON
2600,FARMINGTON
5914,MONTICELLO
2811,JEFFERSON
2809,JEFFERSON
2807,JEFFERSON
2805,JEFFERSON
2718,JEFFERSON
2706,JEFFERSON
2714,JEFFERSON
